transition_id,from_state,to_state,event_type,legal,authority_refs_required,side_effect_refs,reason_code
T188_000,__start__,initiated,call_initiated,true,,TelephonyUrgentLiveAssessment:open,TEL_SESSION_188_CALL_SESSION_CREATED
T188_001,initiated,menu_selected,menu_captured,true,,MenuSelectionCapture:append|TelephonyUrgentLiveAssessment:refresh,TEL_SESSION_188_MENU_CAPTURE_APPENDED
T188_002,initiated,abandoned,call_abandoned,true,,CallSession:abandoned,TEL_SESSION_188_ABANDONMENT_SETTLED
T188_003,initiated,provider_error,provider_error,true,,ProviderErrorRef,TEL_SESSION_188_PROVIDER_ERROR_RECORDED
T188_004,menu_selected,identity_in_progress,identity_step_started,true,,VerificationSeam:started,TEL_SESSION_188_EVENT_APPLIED
T188_005,menu_selected,urgent_live_only,urgent_live_signal_observed,true,TelephonyUrgentLiveAssessment:urgent_live_required,SafetyPreemptionRecord:urgent_live,TEL_SESSION_188_URGENT_LIVE_PREEMPTION_OPENED
T188_006,menu_selected,recording_expected,recording_promised,true,,RecordingExpectation:TBD,TEL_SESSION_188_EVENT_APPLIED
T188_007,identity_in_progress,identity_resolved,identity_resolved,true,TelephonyVerificationDecisionRef,VerificationRef,TEL_SESSION_188_EVENT_APPLIED
T188_008,identity_in_progress,identity_partial,identity_partial,true,TelephonyVerificationDecisionRef,VerificationRef,TEL_SESSION_188_EVENT_APPLIED
T188_009,identity_in_progress,identity_failed,identity_attempt_failed,true,TelephonyVerificationDecisionRef,ManualFollowupSeam,TEL_SESSION_188_EVENT_APPLIED
T188_010,identity_resolved,recording_expected,recording_promised,true,,RecordingExpectation:TBD,TEL_SESSION_188_EVENT_APPLIED
T188_011,identity_partial,recording_expected,recording_promised,true,,RecordingExpectation:TBD,TEL_SESSION_188_EVENT_APPLIED
T188_012,recording_expected,recording_available,recording_available,true,RecordingArtifactRef,RecordingRef,TEL_SESSION_188_RECORDING_REF_ATTACHED
T188_013,recording_expected,recording_missing,manual_followup_requested,true,TelephonyManualReviewDispositionRef,ManualReviewDisposition,TEL_SESSION_188_TIMEOUT_POLICY_APPLIED
T188_014,recording_available,evidence_preparing,transcript_readiness_recorded,true,TelephonyTranscriptReadinessRecordRef,TranscriptJobRef,TEL_SESSION_188_EVENT_APPLIED
T188_015,evidence_preparing,evidence_pending,transcript_readiness_recorded,true,TelephonyTranscriptReadinessRecordRef,TelephonyEvidenceReadinessAssessment:TBD,TEL_SESSION_188_EVENT_APPLIED
T188_016,evidence_pending,urgent_live_only,evidence_readiness_assessed,true,TelephonyEvidenceReadinessAssessmentRef,SafetyPreemptionRecord:urgent_live,TEL_SESSION_188_URGENT_LIVE_PREEMPTION_OPENED
T188_017,evidence_pending,continuation_eligible,continuation_eligibility_settled,true,TelephonyContinuationEligibilityRef,ContinuationEligibilityRef,TEL_SESSION_188_EVENT_APPLIED
T188_018,evidence_pending,evidence_ready,evidence_readiness_assessed,true,TelephonyEvidenceReadinessAssessmentRef,EvidenceReadinessAssessmentRef,TEL_SESSION_188_EVENT_APPLIED
T188_019,continuation_eligible,continuation_sent,continuation_sent,true,TelephonyContinuationEligibilityRef,ContinuationContextRef,TEL_SESSION_188_EVENT_APPLIED
T188_020,evidence_ready,request_seeded,request_seeded,true,TelephonyEvidenceReadinessAssessmentRef,RequestSeedRef,TEL_SESSION_188_EVENT_APPLIED
T188_021,request_seeded,submitted,submission_promoted,true,SubmissionIngressRecordRef,SubmissionPromotionRef,TEL_SESSION_188_EVENT_APPLIED
T188_022,submitted,closed,call_closed,true,ClosureSettlementRef,CallSessionClosed,TEL_SESSION_188_EVENT_APPLIED
T188_023,recording_available,request_seeded,request_seeded,false,TelephonyEvidenceReadinessAssessmentRef,,TEL_SESSION_188_PROMOTION_SHORTCUT_BLOCKED
T188_024,urgent_live_only,request_seeded,request_seeded,false,TelephonyEvidenceReadinessAssessmentRef,,TEL_SESSION_188_PROMOTION_SHORTCUT_BLOCKED
T188_025,menu_selected,closed,call_completed,false,PlatformClosureSettlementRef,,TEL_SESSION_188_PROVIDER_COMPLETION_NOT_PLATFORM_CLOSED
