from_workflow_state,event_id,to_workflow_state,ownership_state_effect,review_freshness_effect,buffer_state_effect,requires_live_review_action_lease,requires_authoritative_settlement,notes
triage_ready,triage.task.created,queued,active,fresh,none,false,true,Task creation seeds queue ownership and route publication without exposing writable review posture.
queued,triage.task.claimed,claimed,active,fresh,none,true,true,Claim requires a live ownership fence and current queue snapshot.
claimed,triage.task.released,queued,releasing,fresh,none,true,true,Release remains governed and same-shell.
claimed,triage.review.started,in_review,active,fresh,none,true,true,Start review mints the active ReviewSession and trust envelope.
in_review,triage.task.released,queued,releasing,fresh,none,true,true,Release from in-review preserves queue continuity and selected anchor.
in_review,triage.more_info.requested,awaiting_patient_info,active,fresh,none,true,true,More-info send is authoritative only after governed settlement.
awaiting_patient_info,triage.more_info.response.linked,review_resumed,active,review_required,review_required,false,true,Returned evidence marks the task for explicit re-check before calm review resumes.
review_resumed,triage.task.claimed,claimed,active,fresh,none,true,true,Resume claim reopens writable review on the same task lineage.
review_resumed,triage.task.released,queued,releasing,fresh,none,true,true,Release after resumed review stays same-shell and preserves return stub context.
in_review,triage.endpoint.selected,endpoint_selected,active,fresh,none,true,true,Endpoint choice binds a live DecisionEpoch and selected anchor tuple.
in_review,triage.escalated,escalated,active,review_required,review_required,true,true,Escalation freezes ordinary calm posture until downstream settlement is authoritative.
endpoint_selected,triage.task.resolved_without_appointment,resolved_without_appointment,active,fresh,none,true,true,Direct non-booking resolution is not final closure yet.
endpoint_selected,triage.task.handoff_pending,handoff_pending,active,fresh,none,true,true,Downstream handoff exists but closure still waits on authoritative settlement.
endpoint_selected,triage.escalated,escalated,active,review_required,review_required,true,true,Escalation supersedes the existing endpoint path in place.
escalated,triage.task.resolved_without_appointment,resolved_without_appointment,active,fresh,none,true,true,Escalation may still settle to a bounded direct-resolution artifact.
escalated,triage.task.handoff_pending,handoff_pending,active,fresh,none,true,true,Escalated work may settle to downstream handoff without detaching the shell.
escalated,triage.task.reopened,reopened,active,review_required,review_required,true,true,Reopen preserves same-shell recovery instead of route reset.
resolved_without_appointment,triage.task.closed,closed,active,fresh,none,true,true,Closure occurs only after LifecycleCoordinator closure evaluation.
handoff_pending,triage.task.closed,closed,active,fresh,none,true,true,Closure occurs only after authoritative handoff completion or governed recovery.
closed,triage.task.reopened,reopened,active,review_required,review_required,true,true,Reopen appends review work and rebinds the lineage fence.
reopened,triage.task.created,queued,active,fresh,none,false,true,Reopened work re-enters the queue under the same lineage with new continuity evidence.
