vendor_id,vendor_name,provider_family,vendor_lane,supports_async_jobs,supports_partial_results,supports_confidence_or_quality_bands,supports_webhooks,supports_replay_protection,supports_region_controls,retention_and_deletion_notes,quarantine_fit_score,mock_now_fit_score,actual_later_fit_score,kill_switch_reason_if_any,source_refs,notes
vecells_transcript_readiness_twin,Vecells Transcript Readiness Twin,transcription,mock_only,yes,yes,yes,yes,yes,yes,"Synthetic fixtures only. Deterministic resets and explicit supersession keep replay, deletion, and audit behavior local to the repo.",97,99,99,,data/analysis/external_dependencies.json#dep_transcription_processing_provider;data/analysis/external_account_inventory.csv#ACC_TRANSCRIPT_SHARED_DEV_PRINCIPAL;prompt/034.md#Section A — Mock_now_execution,"Canonical local transcription twin. It must preserve readiness, coverage class, quality band, and supersession semantics before any real provider is admissible."
deepgram_transcription,Deepgram,transcription,shortlisted,yes,yes,yes,yes,partial,yes,Hosted service can callback results; private and self-hosted deployment options reduce retention lock-in.,78,81,80,,https://developers.deepgram.com/docs/using-callbacks-to-return-transcripts-to-your-server;https://developers.deepgram.com/docs/interim-results;https://developers.deepgram.com/docs/deployment-options;https://deepgram.com/pricing,"Focused transcription provider with strong async and streaming support. Callback authenticity remains a bounded weakness, so Vecells must treat callbacks as hints and re-fetch job state before promotion."
assemblyai_transcription,AssemblyAI,transcription,shortlisted,yes,yes,yes,yes,partial,yes,Transcript deletion removes uploaded files; region selection and private deployment reduce retention ambiguity.,76,81,80,,https://www.assemblyai.com/docs/deployment/webhooks;https://www.assemblyai.com/docs/deployment/webhooks-for-streaming-speech-to-text;https://www.assemblyai.com/docs/pre-recorded-audio/select-the-region;https://www.assemblyai.com/docs/api-reference/transcripts/delete;https://www.assemblyai.com/docs/deployment/private-deployment;https://www.assemblyai.com/pricing,"AssemblyAI is strong on job callbacks, EU region selection, and deletion semantics. Like Deepgram, callback trust still needs Vecells-side replay fencing and trusted re-fetch."
azure_speech_transcription,Azure AI Speech,transcription,candidate,yes,yes,yes,yes,partial,yes,Batch jobs integrate with customer storage and TTL; data privacy posture is stronger than many focused API vendors but the environment model is heavier.,74,74,74,,https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription-create;https://learn.microsoft.com/en-us/azure/ai-services/speech-service/batch-transcription;https://learn.microsoft.com/en-us/legal/cognitive-services/speech-service/speech-to-text/data-privacy-security,"Azure is technically credible and safer on storage and privacy than a toy API, but seq_035 would inherit storage, networking, and tenant setup before the product-side adapter is ready."
aws_transcribe_transcription,Amazon Transcribe,transcription,candidate,yes,yes,yes,no,n/a,yes,"Batch output is tightly coupled to S3 input and output configuration, which is good for audit but broadens the infrastructure surface too early.",70,74,74,,https://docs.aws.amazon.com/transcribe/latest/dg/streaming-partial-results.html;https://docs.aws.amazon.com/transcribe/latest/dg/how-input.html,"Amazon Transcribe has strong partial-result semantics, but the lack of first-class callback delivery and the S3/KMS coupling make it a weaker seq_035 handoff than the shortlist pair."
google_speech_transcription,Google Cloud Speech-to-Text,transcription,rejected,yes,yes,yes,no,n/a,yes,"Regional endpoints and batch APIs exist, but the official product page warning about sensitive or personal data is not acceptable for this use case without much stronger contractual evidence.",55,66,65,"Official product posture warns against entering sensitive, confidential, or personal information; that is incompatible with this evidence-processing seam until clarified with stronger contract evidence.",https://cloud.google.com/speech-to-text;https://cloud.google.com/speech-to-text/docs/endpoints;https://cloud.google.com/speech-to-text/pricing,This is not a product-capability rejection. It is a current-official-docs rejection for this healthcare evidence-processing seam.
vecells_artifact_quarantine_twin,Vecells Artifact Quarantine Twin,artifact_scanning,mock_only,yes,n/a,yes,yes,yes,yes,"Synthetic-only signature packs, explicit quarantine manifests, and deterministic resets keep unsafe evidence local and replayable.",99,98,98,,data/analysis/external_dependencies.json#dep_malware_scanning_provider;data/analysis/external_account_inventory.csv#ACC_SCAN_SHARED_DEV_PRINCIPAL;prompt/034.md#Section A — Mock_now_execution,"Canonical local artifact-scan twin. It must preserve clean, suspicious, quarantined, unreadable, and failed outcomes without silently passing evidence onward."
aws_guardduty_s3_scan,GuardDuty Malware Protection for S3,artifact_scanning,shortlisted,yes,n/a,yes,yes,yes,yes,Results stay in AWS control planes and S3 tags/events instead of direct file round-trips through a vendor callback endpoint.,93,81,82,,https://docs.aws.amazon.com/guardduty/latest/ug/enable-malware-protection-s3-bucket.html;https://docs.aws.amazon.com/guardduty/latest/ug/how-malware-protection-for-s3-gdu-works.html;https://docs.aws.amazon.com/guardduty/latest/ug/monitoring-malware-protection-s3-scans-gdu.html;https://docs.aws.amazon.com/guardduty/latest/ug/monitor-with-eventbridge-s3-malware-protection.html;https://docs.aws.amazon.com/guardduty/latest/ug/pricing-malware-protection-for-s3-guardduty.html,"Best fit for quarantine-first artifact handling because results are event-driven, taggable, and explicit about failure or unsupported states. The tradeoff is AWS account coupling."
opswat_metadefender_cloud,OPSWAT MetaDefender Cloud,artifact_scanning,shortlisted,yes,n/a,yes,no,n/a,yes,Cloud-service regions and explicit API posture are documented; file handling remains more controllable than threat-intel-first services.,88,77,76,,https://www.opswat.com/products/metadefender/cloud;https://www.opswat.com/docs/mdcloud/integrations/v4-api;https://www.opswat.com/docs/my/2025.1.3/home/cloud-services,Strong multi-engine scan vendor with explicit API docs and region story. It is weaker than GuardDuty on event-driven posture but stronger than lighter-weight API scanners for quarantine evidence.
cloudmersive_virus_scan,Cloudmersive Virus Scan API,artifact_scanning,candidate,no,n/a,limited,no,n/a,yes,"Deployment options are flexible, but the API posture is more scan-request oriented than quarantine-workflow oriented.",72,65,66,,https://cloudmersive.com/virus-api;https://api.cloudmersive.com/docs/virus.asp;https://cloudmersive.com/pricing,"Useful portable API-key scanner, but it scores below the shortlist because it is lighter on explicit asynchronous evidence states and webhook-friendly eventing."
virustotal_private_scanning,VirusTotal Private Scanning,artifact_scanning,rejected,yes,n/a,yes,no,n/a,limited,"Private scanning is isolated from the public corpus, but the product remains oriented to threat-intel workflows rather than quarantine-first evidence promotion.",40,41,41,Threat-intel-oriented scanning and weaker quarantine workflow fit make it a poor match for governed patient-evidence intake.,https://docs.virustotal.com/docs/private-scanning;https://docs.virustotal.com/reference/files,Rejected because the operational model fits analyst triage better than patient-evidence quarantine and bounded review.
vecells_evidence_signal_fabric,Vecells Evidence Signal Fabric,combined,mock_only,yes,yes,yes,yes,yes,yes,"Repository-local only. All transcript and scan events remain synthetic, replayable, and explicit.",98,98,98,,prompt/034.md#Mission;prompt/035.md#Mission,"Combined internal mock lane only. It exists to prove readiness, quarantine, and fallback semantics before any live vendor is trusted."
aws_evidence_stack,AWS Evidence Stack,combined,rejected,yes,yes,yes,partial,yes,yes,"AWS can cover both families, but the combined stack would force shared storage, IAM, and event-plane choices too early.",68,69,69,"A single AWS stack would over-couple transcript and scan failure domains, storage posture, and onboarding friction before the adapter contract is frozen.",https://docs.aws.amazon.com/transcribe/latest/dg/how-input.html;https://docs.aws.amazon.com/guardduty/latest/ug/enable-malware-protection-s3-bucket.html;https://docs.aws.amazon.com/guardduty/latest/ug/monitor-with-eventbridge-s3-malware-protection.html,Rejected as the default suite winner. Individual AWS services remain viable where their family-specific fit is strong.
